epsilon,dp_res,wasserstein_distance,mse,std,msd
0.5,True,0.030296994122092497,0.11896070189502055,0.2825555367330415,-0.19779552713983037
1.0,True,0.03258061022829919,0.05782776010673146,0.13902034576589992,-0.19621698083973538
1.5,True,0.037489100793441546,0.0467081584605557,0.09025371174783384,-0.19637318038951912
3.0,True,0.03337781238234727,0.041012149062779675,0.0452741824626567,-0.19738894970366944
5.0,True,0.03259073045202669,0.03979063646925465,0.027977318937310217,-0.19750419259938426
0.5,True,0.03098750087119705,0.11623884655518128,0.2842322473848845,-0.1882840303948242
1.0,True,0.0440458598427379,0.06119425555043455,0.1420811333284712,-0.2025023632023383
1.5,True,0.03325430507160984,0.04767469648094926,0.08998496713648081,-0.19894070013548193
3.0,True,0.03427088881419711,0.041161954112119356,0.04593931491346726,-0.19761460841091844
5.0,True,0.03446512627145991,0.039974175488619264,0.02660136129667486,-0.19815787409483135
